"Date","peak2z_length","gauge_ID"
NA,NA,"X912101A"
NA,NA,"X912105A"
1971-10-18,2,"X915011A"
1971-10-21,2,"X915011A"
1971-12-31,6,"X915011A"
1972-01-28,16,"X915011A"
1972-04-24,41,"X915011A"
1972-11-13,1,"X915011A"
1973-01-12,2,"X915011A"
1973-01-17,1,"X915011A"
1973-01-29,1,"X915011A"
1973-02-04,2,"X915011A"
1973-03-14,9,"X915011A"
1973-03-18,2,"X915011A"
1974-05-02,4,"X915011A"
1974-05-17,5,"X915011A"
1974-05-28,3,"X915011A"
1974-07-01,2,"X915011A"
1974-09-04,4,"X915011A"
1974-11-21,4,"X915011A"
1974-12-01,5,"X915011A"
1975-05-18,20,"X915011A"
1975-08-11,3,"X915011A"
1975-10-30,6,"X915011A"
1975-11-15,7,"X915011A"
1975-12-17,3,"X915011A"
1975-12-27,6,"X915011A"
1976-01-11,13,"X915011A"
1976-01-27,13,"X915011A"
1976-05-12,5,"X915011A"
1976-07-22,1,"X915011A"
1976-12-14,1,"X915011A"
1976-12-29,8,"X915011A"
1977-01-12,5,"X915011A"
1977-01-20,3,"X915011A"
1977-01-29,6,"X915011A"
1977-04-06,14,"X915011A"
1977-04-12,1,"X915011A"
1977-04-18,2,"X915011A"
1977-04-24,4,"X915011A"
1977-05-23,7,"X915011A"
1977-08-15,19,"X915011A"
1978-01-20,2,"X915011A"
1978-02-05,4,"X915011A"
1978-04-04,2,"X915011A"
1978-09-07,2,"X915011A"
1978-12-11,2,"X915011A"
1978-12-26,5,"X915011A"
1979-01-31,15,"X915011A"
1979-05-03,16,"X915011A"
1979-07-18,3,"X915011A"
1980-01-12,4,"X915011A"
1980-01-29,3,"X915011A"
1980-02-15,5,"X915011A"
1980-03-26,21,"X915011A"
1981-01-09,2,"X915011A"
1981-05-06,27,"X915011A"
1981-07-07,29,"X915011A"
1981-07-29,6,"X915011A"
1981-08-29,3,"X915011A"
1981-11-24,3,"X915011A"
1981-12-11,5,"X915011A"
1982-03-18,7,"X915011A"
1982-05-04,2,"X915011A"
1983-01-07,4,"X915011A"
1983-01-20,4,"X915011A"
1983-07-19,30,"X915011A"
1983-11-24,2,"X915011A"
1983-12-10,2,"X915011A"
1984-01-07,2,"X915011A"
1984-04-04,6,"X915011A"
1984-07-29,2,"X915011A"
1984-12-13,1,"X915011A"
1984-12-23,2,"X915011A"
1985-01-28,3,"X915011A"
1985-07-11,3,"X915011A"
1985-11-29,2,"X915011A"
1985-12-14,3,"X915011A"
1986-01-11,4,"X915011A"
1986-02-20,5,"X915011A"
1986-03-03,9,"X915011A"
1986-11-01,2,"X915011A"
1987-01-07,4,"X915011A"
1987-01-13,3,"X915011A"
1987-01-21,3,"X915011A"
1987-01-26,1,"X915011A"
1987-02-06,7,"X915011A"
1987-03-01,5,"X915011A"
1987-03-06,3,"X915011A"
1987-03-12,3,"X915011A"
1987-03-29,2,"X915011A"
1988-02-20,3,"X915011A"
1989-01-09,5,"X915011A"
1989-02-08,3,"X915011A"
1989-02-18,4,"X915011A"
1989-03-20,4,"X915011A"
1989-03-31,2,"X915011A"
1989-04-12,5,"X915011A"
1989-04-27,3,"X915011A"
1989-06-02,6,"X915011A"
1989-12-03,1,"X915011A"
1989-12-11,1,"X915011A"
1989-12-23,7,"X915011A"
1990-02-04,2,"X915011A"
1990-04-12,8,"X915011A"
1990-05-17,26,"X915011A"
1990-05-31,8,"X915011A"
1990-07-07,31,"X915011A"
1991-04-14,16,"X915011A"
1991-06-25,2,"X915011A"
1992-02-19,3,"X915011A"
1992-03-09,10,"X915011A"
1992-03-26,3,"X915011A"
1992-05-15,2,"X915011A"
1992-05-20,2,"X915011A"
1993-01-23,10,"X915011A"
1993-03-04,2,"X915011A"
1994-04-08,27,"X915011A"
1994-04-11,1,"X915011A"
1994-12-14,6,"X915011A"
1995-01-06,3,"X915011A"
1995-01-25,4,"X915011A"
1995-02-19,7,"X915011A"
1995-03-02,7,"X915011A"
1995-03-20,8,"X915011A"
1995-05-12,34,"X915011A"
1995-10-20,1,"X915011A"
1995-12-15,2,"X915011A"
1996-01-18,10,"X915011A"
1996-04-15,32,"X915011A"
1997-02-24,10,"X915011A"
1997-03-19,12,"X915011A"
1997-03-28,3,"X915011A"
1997-06-17,31,"X915011A"
1997-11-07,2,"X915011A"
1997-11-13,3,"X915011A"
1997-11-19,4,"X915011A"
1998-01-08,9,"X915011A"
1998-02-10,13,"X915011A"
1998-02-24,7,"X915011A"
1998-03-21,1,"X915011A"
1998-05-03,3,"X915011A"
1998-09-04,4,"X915011A"
1998-09-15,4,"X915011A"
1999-01-04,1,"X915011A"
1999-01-25,10,"X915011A"
1999-02-11,4,"X915011A"
1999-02-19,3,"X915011A"
1999-03-21,12,"X915011A"
1999-04-04,4,"X915011A"
1999-11-12,4,"X915011A"
1999-12-05,5,"X915011A"
1999-12-17,2,"X915011A"
1999-12-23,4,"X915011A"
2000-01-20,8,"X915011A"
2000-01-27,4,"X915011A"
2000-02-14,5,"X915011A"
2000-04-15,6,"X915011A"
2000-05-30,9,"X915011A"
2000-07-01,20,"X915011A"
2001-02-13,11,"X915011A"
2001-02-23,4,"X915011A"
2001-03-13,9,"X915011A"
2001-04-25,26,"X915011A"
2001-06-14,15,"X915011A"
2001-11-29,2,"X915011A"
2001-12-26,10,"X915011A"
2002-01-26,12,"X915011A"
2002-02-12,3,"X915011A"
