"Date","peak2z_length","gauge_ID"
1993-09-22,58,"X919201A"
1993-12-11,16,"X919201A"
1994-04-26,41,"X919201A"
1994-11-02,1,"X919201A"
1994-11-10,6,"X919201A"
1995-01-10,14,"X919201A"
1995-06-04,58,"X919201A"
1995-09-07,19,"X919201A"
1995-11-29,6,"X919201A"
1996-10-08,90,"X919201A"
1996-11-14,34,"X919201A"
1996-12-11,20,"X919201A"
1997-10-15,41,"X919201A"
1997-12-15,17,"X919201A"
1998-09-22,111,"X919201A"
1998-10-24,9,"X919201A"
1999-10-27,54,"X919201A"
2001-10-07,83,"X919201A"
2001-11-07,19,"X919201A"
2001-11-24,11,"X919201A"
2002-06-13,56,"X919201A"
2003-01-20,17,"X919201A"
2003-06-08,84,"X919201A"
2004-10-06,50,"X919201A"
2004-11-17,7,"X919201A"
2005-08-19,116,"X919201A"
2005-12-10,9,"X919201A"
2006-01-07,10,"X919201A"
2006-10-08,56,"X919201A"
2007-09-15,64,"X919201A"
2007-12-16,6,"X919201A"
2008-09-21,58,"X919201A"
2008-11-13,3,"X919201A"
2009-08-30,93,"X919201A"
2010-10-31,79,"X919201A"
2011-11-20,34,"X919201A"
2012-09-30,72,"X919201A"
2013-10-08,86,"X919201A"
2014-11-10,109,"X919201A"
1968-08-28,115,"X919309A"
1969-06-05,72,"X919309A"
1970-05-27,55,"X919309A"
1971-09-28,94,"X919309A"
1972-10-21,119,"X919309A"
1972-12-27,24,"X919309A"
1973-09-22,155,"X919309A"
1978-08-09,159,"X919309A"
1979-10-27,120,"X919309A"
1980-09-14,137,"X919309A"
1981-10-21,147,"X919309A"
1982-09-06,138,"X919309A"
1983-08-21,72,"X919309A"
1984-08-03,123,"X919309A"
1985-08-02,74,"X919309A"
1986-08-03,38,"X919309A"
1986-12-12,21,"X919309A"
1987-06-29,84,"X919309A"
1988-06-10,64,"X919309A"
1988-10-22,9,"X919309A"
1989-09-06,90,"X919309A"
1990-09-09,90,"X919309A"
1991-10-03,184,"X919309A"
1992-07-12,113,"X919309A"
1992-12-23,87,"X919309A"
1993-05-20,52,"X919309A"
1993-12-09,12,"X919309A"
1994-05-29,18,"X919309A"
1995-08-27,2,"X919309A"
1995-10-25,31,"X919309A"
1996-08-25,17,"X919309A"
1996-10-17,25,"X919309A"
1996-11-14,14,"X919309A"
1997-09-26,29,"X919309A"
1997-12-06,26,"X919309A"
1998-08-10,75,"X919309A"
1998-10-24,24,"X919309A"
2001-11-07,172,"X919309A"
2002-09-08,141,"X919309A"
2002-12-16,31,"X919309A"
2003-08-21,158,"X919309A"
2004-09-04,99,"X919309A"
2004-12-05,11,"X919309A"
2005-07-13,48,"X919309A"
2006-09-29,63,"X919309A"
2006-12-03,54,"X919309A"
2006-12-27,14,"X919309A"
2007-10-25,125,"X919309A"
2008-10-22,79,"X919309A"
2009-11-04,153,"X919309A"
2012-10-07,78,"X919309A"
2012-12-23,33,"X919309A"
2013-09-27,122,"X919309A"
2013-11-21,31,"X919309A"
2014-09-24,93,"X919309A"
2014-11-08,29,"X919309A"
1968-10-23,76,"X922101B"
1968-12-08,9,"X922101B"
1969-09-17,76,"X922101B"
1970-09-07,144,"X922101B"
1970-12-22,13,"X922101B"
1971-10-04,74,"X922101B"
1972-09-30,101,"X922101B"
1974-10-13,111,"X922101B"
1976-10-19,96,"X922101B"
1977-10-19,96,"X922101B"
1978-12-17,51,"X922101B"
1979-10-27,89,"X922101B"
1980-11-01,81,"X922101B"
1980-11-23,13,"X922101B"
1981-10-28,89,"X922101B"
1982-10-17,131,"X922101B"
1983-02-02,19,"X922101B"
1983-10-14,118,"X922101B"
1984-10-16,80,"X922101B"
1986-09-05,93,"X922101B"
1986-11-11,17,"X922101B"
1987-10-09,27,"X922101B"
1988-09-21,140,"X922101B"
1989-09-28,79,"X922101B"
1989-12-14,13,"X922101B"
1990-09-05,36,"X922101B"
1991-09-09,115,"X922101B"
1992-08-17,120,"X922101B"
1993-10-27,155,"X922101B"
1994-10-26,172,"X922101B"
1995-11-08,27,"X922101B"
1996-12-15,65,"X922101B"
1997-09-30,125,"X922101B"
1999-10-23,109,"X922101B"
2001-10-16,84,"X922101B"
2002-09-08,131,"X922101B"
2003-08-27,126,"X922101B"
2004-10-06,84,"X922101B"
2004-11-10,24,"X922101B"
2005-09-25,166,"X922101B"
2006-11-18,87,"X922101B"
2007-11-15,89,"X922101B"
2008-11-01,134,"X922101B"
2009-09-13,102,"X922101B"
2011-10-11,86,"X922101B"
2012-11-15,122,"X922101B"
2013-10-06,77,"X922101B"
2014-10-23,97,"X922101B"
NA,NA,"X925001A"
1989-01-10,1,"X926002A"
1989-07-22,6,"X926002A"
1990-09-07,82,"X926002A"
1977-02-04,7,"G9030124"
1977-04-08,18,"G9030124"
1978-01-01,9,"G9030124"
1978-01-04,1,"G9030124"
1978-03-12,16,"G9030124"
1979-02-07,8,"G9030124"
1979-03-23,15,"G9030124"
1980-03-05,5,"G9030124"
1980-03-12,3,"G9030124"
1980-03-28,6,"G9030124"
1981-03-15,8,"G9030124"
1982-04-17,3,"G9030124"
1983-04-18,12,"G9030124"
1967-11-27,104,"G9030250"
1970-10-05,213,"G9030250"
1973-10-24,126,"G9030250"
1965-12-05,2,"G9070142"
1965-12-23,3,"G9070142"
1966-01-02,3,"G9070142"
1966-03-29,6,"G9070142"
1966-11-11,3,"G9070142"
1966-11-16,4,"G9070142"
1966-11-21,3,"G9070142"
1966-12-12,4,"G9070142"
1966-12-19,4,"G9070142"
1967-01-29,6,"G9070142"
1967-09-10,179,"G9070142"
1967-12-09,5,"G9070142"
1968-01-10,5,"G9070142"
1968-10-25,155,"G9070142"
1968-12-31,5,"G9070142"
1969-01-10,4,"G9070142"
1969-07-18,14,"G9070142"
1970-01-05,7,"G9070142"
1970-01-21,7,"G9070142"
1970-06-01,18,"G9070142"
1970-11-25,11,"G9070142"
1971-01-04,11,"G9070142"
1971-01-26,8,"G9070142"
1971-12-10,7,"G9070142"
1971-12-26,10,"G9070142"
1972-11-26,252,"G9070142"
1972-12-09,4,"G9070142"
1973-02-16,16,"G9070142"
1973-04-22,12,"G9070142"
1973-07-03,15,"G9070142"
1973-12-04,7,"G9070142"
1979-10-26,47,"G9070142"
1979-12-29,7,"G9070142"
1980-01-23,10,"G9070142"
1980-05-20,59,"G9070142"
1980-12-16,5,"G9070142"
1981-10-15,34,"G9070142"
1981-12-10,9,"G9070142"
1981-12-22,5,"G9070142"
1982-01-04,3,"G9070142"
1982-08-06,69,"G9070142"
1982-10-02,22,"G9070142"
1982-12-23,6,"G9070142"
1983-01-10,7,"G9070142"
1983-02-13,5,"G9070142"
1983-03-09,3,"G9070142"
1983-05-22,29,"G9070142"
1983-12-12,4,"G9070142"
1983-12-27,4,"G9070142"
1984-12-07,25,"G9070142"
1985-01-21,31,"G9070142"
1985-08-09,73,"G9070142"
1985-12-29,18,"G9070142"
1986-02-17,22,"G9070142"
1986-03-11,6,"G9070142"
1986-04-06,7,"G9070142"
1986-07-12,8,"G9070142"
1986-11-04,6,"G9070142"
1986-12-15,6,"G9070142"
1987-01-10,7,"G9070142"
1987-06-20,67,"G9070142"
1987-11-08,7,"G9070142"
1987-11-27,4,"G9070142"
1987-12-10,8,"G9070142"
1988-01-20,13,"G9070142"
1988-02-23,9,"G9070142"
1988-12-18,3,"G9070142"
