"Date","peak2z_length","gauge_ID"
2004-07-13,13,"X915011A"
2005-01-02,5,"X915011A"
2005-02-26,16,"X915011A"
2005-06-17,30,"X915011A"
2005-08-14,4,"X915011A"
2006-02-15,7,"X915011A"
2006-03-15,6,"X915011A"
2006-06-03,9,"X915011A"
2006-06-30,2,"X915011A"
2006-07-21,4,"X915011A"
2006-12-13,5,"X915011A"
2007-03-03,10,"X915011A"
2007-03-26,10,"X915011A"
2007-07-24,27,"X915011A"
2007-07-28,2,"X915011A"
2007-11-22,1,"X915011A"
2008-01-10,13,"X915011A"
2008-04-04,3,"X915011A"
2008-08-01,7,"X915011A"
2008-08-16,2,"X915011A"
2008-11-13,1,"X915011A"
2008-11-25,5,"X915011A"
2008-12-04,6,"X915011A"
2009-07-13,3,"X915011A"
2009-07-24,2,"X915011A"
2010-01-22,13,"X915011A"
2010-05-30,11,"X915011A"
2010-06-09,1,"X915011A"
2010-08-15,2,"X915011A"
2010-09-10,1,"X915011A"
2010-10-03,4,"X915011A"
2010-10-27,5,"X915011A"
2011-08-31,2,"X915011A"
2011-09-03,1,"X915011A"
2011-10-11,3,"X915011A"
2011-12-23,6,"X915011A"
2012-01-03,5,"X915011A"
2012-09-19,2,"X915011A"
2012-10-03,1,"X915011A"
2012-10-15,1,"X915011A"
2013-01-01,4,"X915011A"
2013-01-31,5,"X915011A"
2013-03-10,5,"X915011A"
2013-04-22,9,"X915011A"
2013-06-08,6,"X915011A"
2013-07-26,5,"X915011A"
2013-07-31,3,"X915011A"
2014-01-15,3,"X915011A"
2014-03-07,14,"X915011A"
2014-04-08,13,"X915011A"
2014-04-22,3,"X915011A"
2014-05-05,10,"X915011A"
2014-05-20,1,"X915011A"
2014-06-22,6,"X915011A"
1969-06-11,82,"X917107A"
1970-01-01,6,"X917107A"
1970-02-19,12,"X917107A"
1970-04-01,8,"X917107A"
1970-11-24,3,"X917107A"
1970-12-17,8,"X917107A"
1971-01-15,4,"X917107A"
1971-09-16,82,"X917107A"
1989-04-29,22,"X917107A"
1989-11-10,3,"X917107A"
1990-11-22,169,"X917107A"
1992-07-31,14,"X917107A"
1992-08-10,3,"X917107A"
1993-12-19,279,"X917107A"
1994-02-27,3,"X917107A"
1994-03-16,5,"X917107A"
1995-03-19,8,"X917107A"
1995-06-15,6,"X917107A"
1996-01-17,8,"X917107A"
1996-01-22,3,"X917107A"
1996-02-14,6,"X917107A"
1996-11-28,2,"X917107A"
1997-07-21,119,"X917107A"
2003-11-02,204,"X917107A"
2003-12-22,9,"X917107A"
2004-03-10,13,"X917107A"
2004-04-06,11,"X917107A"
2005-06-24,137,"X917107A"
2006-02-18,14,"X917107A"
2006-08-02,77,"X917107A"
2007-09-26,70,"X917107A"
1968-11-02,171,"X919003A"
1969-11-14,114,"X919003A"
1970-10-12,63,"X919003A"
1971-11-11,115,"X919003A"
1972-11-18,68,"X919003A"
1978-10-23,155,"X919003A"
1991-10-22,138,"X919003A"
1992-10-14,158,"X919003A"
1994-11-26,137,"X919003A"
2002-09-28,205,"X919003A"
2003-02-02,30,"X919003A"
2003-10-08,165,"X919003A"
2004-12-05,129,"X919003A"
2005-12-04,38,"X919003A"
2009-10-16,138,"X919003A"
1968-01-01,6,"X919201A"
1968-08-29,97,"X919201A"
1969-01-15,8,"X919201A"
1969-02-10,13,"X919201A"
1969-03-12,14,"X919201A"
1969-05-04,47,"X919201A"
1969-12-03,9,"X919201A"
1969-12-21,10,"X919201A"
1970-05-27,26,"X919201A"
1970-10-23,2,"X919201A"
1970-11-08,1,"X919201A"
1970-11-18,2,"X919201A"
1970-12-15,6,"X919201A"
1971-09-28,51,"X919201A"
1972-09-18,11,"X919201A"
1972-10-05,11,"X919201A"
1973-10-09,14,"X919201A"
1973-11-11,3,"X919201A"
1974-10-15,43,"X919201A"
1974-12-01,9,"X919201A"
1975-10-12,31,"X919201A"
1975-10-22,4,"X919201A"
1975-11-11,6,"X919201A"
1976-12-06,5,"X919201A"
1977-10-21,50,"X919201A"
1978-01-06,13,"X919201A"
1978-07-08,22,"X919201A"
1979-10-12,41,"X919201A"
1979-11-30,4,"X919201A"
1980-10-17,57,"X919201A"
1981-10-21,71,"X919201A"
1982-09-28,111,"X919201A"
1982-12-12,3,"X919201A"
1982-12-21,3,"X919201A"
1982-12-29,6,"X919201A"
1983-01-29,12,"X919201A"
1983-08-15,84,"X919201A"
1983-10-25,10,"X919201A"
1983-11-16,10,"X919201A"
1984-01-02,24,"X919201A"
1984-04-06,22,"X919201A"
1984-11-19,12,"X919201A"
1985-01-13,8,"X919201A"
1985-08-20,43,"X919201A"
1985-11-07,12,"X919201A"
1986-09-01,109,"X919201A"
1986-11-06,7,"X919201A"
1987-08-11,32,"X919201A"
1987-08-24,7,"X919201A"
1987-12-12,10,"X919201A"
1988-01-29,2,"X919201A"
1988-03-15,5,"X919201A"
1988-04-14,4,"X919201A"
1988-11-18,2,"X919201A"
1988-12-02,6,"X919201A"
1991-11-13,180,"X919201A"
1992-05-03,36,"X919201A"
1993-09-08,44,"X919201A"
1993-12-05,10,"X919201A"
1994-04-03,18,"X919201A"
1994-11-02,1,"X919201A"
1994-11-07,3,"X919201A"
1995-01-05,9,"X919201A"
1995-04-23,16,"X919201A"
1995-09-04,16,"X919201A"
1995-11-27,4,"X919201A"
1996-09-16,68,"X919201A"
1996-10-22,11,"X919201A"
1996-11-29,8,"X919201A"
1997-10-07,33,"X919201A"
1997-12-08,10,"X919201A"
1998-09-19,108,"X919201A"
1998-10-20,5,"X919201A"
1999-10-22,49,"X919201A"
2000-10-13,53,"X919201A"
2001-10-02,78,"X919201A"
2001-11-01,13,"X919201A"
2001-11-18,5,"X919201A"
2002-05-17,29,"X919201A"
2003-01-12,9,"X919201A"
2003-04-30,45,"X919201A"
2004-09-24,38,"X919201A"
2004-11-12,2,"X919201A"
2005-07-19,85,"X919201A"
2005-11-30,1,"X919201A"
2005-12-05,4,"X919201A"
2005-12-22,3,"X919201A"
2006-01-05,8,"X919201A"
2006-10-02,50,"X919201A"
2007-09-02,51,"X919201A"
2007-12-15,5,"X919201A"
2008-09-06,43,"X919201A"
2008-11-11,1,"X919201A"
2009-08-17,80,"X919201A"
2010-10-15,63,"X919201A"
2011-11-03,17,"X919201A"
2012-01-12,12,"X919201A"
2012-09-06,48,"X919201A"
2013-09-28,76,"X919201A"
2014-11-02,101,"X919201A"
1968-08-23,110,"X919309A"
1969-05-31,67,"X919309A"
1970-05-27,55,"X919309A"
1971-09-23,89,"X919309A"
1972-10-16,114,"X919309A"
1972-12-22,19,"X919309A"
1973-09-05,138,"X919309A"
1975-10-18,162,"X919309A"
1977-11-16,127,"X919309A"
1978-07-28,147,"X919309A"
1979-10-21,114,"X919309A"
1980-08-29,121,"X919309A"
1981-10-15,141,"X919309A"
1982-08-19,120,"X919309A"
1983-02-16,26,"X919309A"
1983-08-11,62,"X919309A"
1984-07-09,98,"X919309A"
1985-07-22,63,"X919309A"
1986-07-23,27,"X919309A"
1986-12-07,16,"X919309A"
1987-06-15,70,"X919309A"
1987-12-21,15,"X919309A"
1988-06-01,55,"X919309A"
1988-10-19,6,"X919309A"
1988-12-09,5,"X919309A"
1989-09-05,89,"X919309A"
1990-09-08,89,"X919309A"
1991-09-29,180,"X919309A"
1992-07-10,111,"X919309A"
1992-12-19,83,"X919309A"
1993-05-18,50,"X919309A"
1993-12-09,12,"X919309A"
1994-05-21,10,"X919309A"
1995-08-17,155,"X919309A"
1995-08-27,2,"X919309A"
1995-10-25,31,"X919309A"
1996-08-21,13,"X919309A"
1996-10-10,18,"X919309A"
1996-11-14,14,"X919309A"
1997-09-14,17,"X919309A"
1997-12-05,25,"X919309A"
1998-08-03,68,"X919309A"
1998-10-23,23,"X919309A"
1999-10-29,104,"X919309A"
2001-10-16,150,"X919309A"
2002-09-01,134,"X919309A"
2002-12-16,31,"X919309A"
2003-08-15,152,"X919309A"
2004-08-29,93,"X919309A"
2004-12-02,8,"X919309A"
2005-07-07,42,"X919309A"
2006-09-25,59,"X919309A"
2006-12-03,54,"X919309A"
2006-12-25,12,"X919309A"
2007-10-18,118,"X919309A"
2008-10-19,76,"X919309A"
2009-09-29,117,"X919309A"
2010-09-18,103,"X919309A"
2012-10-04,75,"X919309A"
2012-12-20,30,"X919309A"
2013-09-22,117,"X919309A"
2013-11-21,31,"X919309A"
2014-09-20,89,"X919309A"
2014-11-08,29,"X919309A"
1967-12-22,3,"X922101B"
1968-10-17,70,"X922101B"
1968-12-07,8,"X922101B"
1969-08-31,59,"X922101B"
1970-09-02,139,"X922101B"
1970-12-20,11,"X922101B"
1971-09-24,64,"X922101B"
1972-09-17,88,"X922101B"
1973-11-15,91,"X922101B"
1974-10-10,108,"X922101B"
1975-11-15,18,"X922101B"
1976-10-04,81,"X922101B"
1977-10-15,92,"X922101B"
1978-10-23,104,"X922101B"
1978-12-06,40,"X922101B"
1979-10-24,86,"X922101B"
1980-10-20,69,"X922101B"
1980-11-18,8,"X922101B"
1981-10-27,88,"X922101B"
1982-01-09,23,"X922101B"
1982-10-03,117,"X922101B"
1983-01-23,9,"X922101B"
1983-10-11,115,"X922101B"
1984-10-06,70,"X922101B"
1985-10-04,51,"X922101B"
1985-12-05,35,"X922101B"
1985-12-23,11,"X922101B"
1986-08-22,79,"X922101B"
1986-10-31,6,"X922101B"
1987-09-21,9,"X922101B"
1988-01-31,16,"X922101B"
1988-08-14,102,"X922101B"
1989-09-21,72,"X922101B"
1989-12-11,10,"X922101B"
1990-01-06,8,"X922101B"
1990-08-24,24,"X922101B"
1991-07-15,59,"X922101B"
1991-12-17,4,"X922101B"
1992-08-14,117,"X922101B"
1993-09-15,113,"X922101B"
1994-08-25,110,"X922101B"
1995-10-25,13,"X922101B"
1996-10-07,52,"X922101B"
1996-12-13,63,"X922101B"
1997-09-15,110,"X922101B"
1998-10-21,101,"X922101B"
1999-10-10,96,"X922101B"
2001-10-02,70,"X922101B"
2002-07-14,75,"X922101B"
2003-08-07,106,"X922101B"
2004-09-18,66,"X922101B"
2004-10-29,12,"X922101B"
2005-09-23,164,"X922101B"
2006-11-10,79,"X922101B"
2007-11-13,87,"X922101B"
2008-10-02,104,"X922101B"
2009-09-06,95,"X922101B"
2011-10-08,83,"X922101B"
2012-11-05,112,"X922101B"
2013-09-26,67,"X922101B"
2014-10-15,89,"X922101B"
NA,NA,"X925001A"
1989-01-10,1,"X926002A"
1989-07-22,6,"X926002A"
