"Date","peak2z_length","gauge_ID"
NA,NA,"X912101A"
NA,NA,"X912105A"
1971-10-22,3,"X915011A"
1971-12-16,2,"X915011A"
1972-01-03,9,"X915011A"
1972-02-10,4,"X915011A"
1972-05-17,64,"X915011A"
1972-11-14,2,"X915011A"
1972-12-07,3,"X915011A"
1972-12-14,3,"X915011A"
1973-01-13,3,"X915011A"
1973-01-19,3,"X915011A"
1973-01-31,3,"X915011A"
1973-02-05,3,"X915011A"
1973-03-15,10,"X915011A"
1973-03-18,2,"X915011A"
1973-11-13,1,"X915011A"
1974-08-16,3,"X915011A"
1974-09-25,8,"X915011A"
1974-10-01,4,"X915011A"
1974-11-23,6,"X915011A"
1974-12-18,22,"X915011A"
1975-08-24,16,"X915011A"
1975-11-02,9,"X915011A"
1975-11-19,11,"X915011A"
1976-05-26,19,"X915011A"
1976-06-07,3,"X915011A"
1976-06-18,3,"X915011A"
1976-07-02,1,"X915011A"
1976-09-29,70,"X915011A"
1976-12-15,2,"X915011A"
1976-12-29,8,"X915011A"
1977-01-13,6,"X915011A"
1977-01-20,3,"X915011A"
1977-01-30,7,"X915011A"
1977-04-27,7,"X915011A"
1977-05-14,2,"X915011A"
1977-05-27,11,"X915011A"
1977-08-22,26,"X915011A"
1978-01-20,2,"X915011A"
1978-02-06,5,"X915011A"
1978-04-05,3,"X915011A"
1978-09-08,3,"X915011A"
1978-12-11,2,"X915011A"
1978-12-27,6,"X915011A"
1979-07-18,3,"X915011A"
1980-02-21,11,"X915011A"
1980-03-31,26,"X915011A"
1980-06-04,7,"X915011A"
1981-08-22,30,"X915011A"
1981-09-02,7,"X915011A"
1981-12-13,7,"X915011A"
1982-03-22,11,"X915011A"
1982-04-25,6,"X915011A"
1982-05-07,5,"X915011A"
1983-01-08,5,"X915011A"
1983-01-21,5,"X915011A"
1983-04-06,23,"X915011A"
1983-09-08,11,"X915011A"
1983-10-23,3,"X915011A"
1983-12-18,10,"X915011A"
1984-07-03,6,"X915011A"
1984-09-11,18,"X915011A"
1984-10-23,2,"X915011A"
1984-12-14,2,"X915011A"
1984-12-26,5,"X915011A"
1985-01-30,5,"X915011A"
1985-07-24,16,"X915011A"
1985-11-23,1,"X915011A"
1986-01-26,2,"X915011A"
1986-03-06,12,"X915011A"
1986-09-06,1,"X915011A"
1986-11-05,6,"X915011A"
1986-12-11,1,"X915011A"
1987-01-15,5,"X915011A"
1987-01-22,4,"X915011A"
1987-02-09,10,"X915011A"
1987-03-08,5,"X915011A"
1987-03-13,4,"X915011A"
1987-03-30,3,"X915011A"
1988-02-21,4,"X915011A"
1988-03-16,14,"X915011A"
1989-01-15,11,"X915011A"
1989-02-11,6,"X915011A"
1989-02-24,10,"X915011A"
1989-03-23,7,"X915011A"
1989-04-02,4,"X915011A"
1989-04-14,7,"X915011A"
1989-04-29,5,"X915011A"
1989-06-11,4,"X915011A"
1989-07-19,1,"X915011A"
1989-11-25,1,"X915011A"
1989-12-01,2,"X915011A"
1989-12-04,2,"X915011A"
1989-12-24,8,"X915011A"
1990-02-05,3,"X915011A"
1990-04-14,10,"X915011A"
1990-05-20,29,"X915011A"
1990-06-02,10,"X915011A"
1990-07-11,35,"X915011A"
1991-06-10,24,"X915011A"
1991-07-02,9,"X915011A"
1992-02-23,7,"X915011A"
1992-03-15,16,"X915011A"
1992-03-29,6,"X915011A"
1992-05-17,4,"X915011A"
1992-05-20,2,"X915011A"
1993-01-26,13,"X915011A"
1993-03-06,4,"X915011A"
1994-04-13,3,"X915011A"
1994-12-16,8,"X915011A"
1995-01-11,8,"X915011A"
1995-02-01,1,"X915011A"
1995-03-08,13,"X915011A"
1995-03-26,14,"X915011A"
1995-05-12,34,"X915011A"
1995-10-23,4,"X915011A"
1995-12-17,4,"X915011A"
1996-01-28,3,"X915011A"
1996-04-15,32,"X915011A"
1997-04-02,8,"X915011A"
1997-06-17,31,"X915011A"
1997-11-09,4,"X915011A"
1997-11-22,7,"X915011A"
1997-11-29,1,"X915011A"
1998-03-27,7,"X915011A"
1998-05-09,9,"X915011A"
1998-09-07,7,"X915011A"
1998-09-18,7,"X915011A"
1999-01-04,1,"X915011A"
1999-01-29,14,"X915011A"
1999-02-23,7,"X915011A"
1999-03-25,16,"X915011A"
1999-04-04,4,"X915011A"
1999-11-15,7,"X915011A"
1999-12-09,9,"X915011A"
1999-12-31,3,"X915011A"
2000-04-20,11,"X915011A"
2000-06-05,15,"X915011A"
2000-07-10,29,"X915011A"
2001-03-18,14,"X915011A"
2001-05-05,36,"X915011A"
2001-06-14,15,"X915011A"
2001-10-25,1,"X915011A"
2001-12-01,4,"X915011A"
2001-12-29,13,"X915011A"
2002-01-29,15,"X915011A"
2002-04-16,33,"X915011A"
2002-08-08,13,"X915011A"
2003-03-29,22,"X915011A"
2003-04-03,1,"X915011A"
2003-04-17,2,"X915011A"
2003-07-05,23,"X915011A"
2003-10-28,34,"X915011A"
2003-12-29,12,"X915011A"
2004-03-12,8,"X915011A"
2004-07-13,13,"X915011A"
2004-09-22,7,"X915011A"
2005-01-04,7,"X915011A"
2005-03-01,19,"X915011A"
2005-06-17,30,"X915011A"
2005-08-19,9,"X915011A"
2006-02-18,10,"X915011A"
2006-03-18,9,"X915011A"
2006-03-25,2,"X915011A"
2006-06-08,14,"X915011A"
2006-06-30,2,"X915011A"
2006-07-26,9,"X915011A"
2006-12-15,7,"X915011A"
